Vardas              Pavarde             ND1    Egz    
Zenius              Kazlaukas           5      1      
Narvydas            Urbonas             3      6      
Krescencijus        Petrauskas          7      1      
Rostislavas         Petrauskas          2      3      
Kajetonas           Butkus              5      10     
Gvidas              Kazlaukas           1      5      
Antonijus           Stankevicius        6      5      
Makarijus           Kateiva             4      10     
Orestas             Petrauskas          8      8      
Vacius              Kazlaukas           9      2      
Otilijus            Pocius              4      3      
Gailimantas         Butkus              10     9      
Eligijus            Butkus              4      10     
Brunas              Petrauskas          1      2      
Vitas               Vasiliauskas        1      1      
zymantas            Vasiliauskas        3      10     
Antonijus           Sakalauskas         4      3      
Sidas               Jankauskas          6      5      
Zbignevas           Stankevicius        5      7      
Liudvikas           Pocius              2      10     
Isakas              Butkus              5      3      
Karpas              Petrauskas          8      7      
Vitas               Stankevicius        4      8      
Pijus               Vasiliauskas        3      8      
Gailimantas         Jankauskas          2      7      
Nerius              Pocius              8      7      
Samuelis            Petrauskas          8      10     
Bronislovas         Petrauskas          10     1      
Henris              Butkus              10     3      
Mykolas             Pocius              5      4      
Palemonas           Vasiliauskas        1      8      
zygintas            Pocius              3      1      
Jorunas             Pocius              2      10     
Laimonas            Urbonas             7      6      
Inocentas           Vasiliauskas        8      8      
Genadijus           Petrauskas          3      2      
Laurynas            zukauskas           3      4      
Konradas            Jankauskas          6      10     
Ernestas            Vasiliauskas        3      8      
Utenis              Kateiva             9      4      
Skaistis            Baranauskas         3      9      
Vestas              Stankevicius        8      10     
Germantas           Petrauskas          10     4      
Tedas               Urbonas             9      10     
Leonas              Pocius              10     3      
Mikolajus           Kazlaukas           1      1      
Nikas               zukauskas           3      7      
Andrius             Kavaliauskas        1      10     
Vitas               Butkus              5      8      
Mikolajus           Vasiliauskas        8      6      
Vaidotas            Pocius              7      9      
Rutenis             Petrauskas          10     7      
Gracijus            Butkus              5      3      
svitrigaila         Stankevicius        1      6      
Vydmantas           Paulauskas          5      4      
Telesforas          Vasiliauskas        1      6      
Dimitrijus          Urbonas             9      7      
Trofimas            Baranauskas         4      9      
Valius              Kateiva             5      3      
Boguslavas          Kazlaukas           7      7      
Herbertas           Jankauskas          5      7      
Erikas              Kateiva             8      4      
zygis               Urbonas             3      7      
Teofilis            Vasiliauskas        6      5      
Rysardas            Kavaliauskas        8      8      
Modestas            Pocius              7      8      
Napoleonas          Sakalauskas         2      10     
Tadas               Vasiliauskas        7      2      
Rostislavas         Paulauskas          5      1      
Dziugas             Kateiva             10     3      
Grazvydas           Urbonas             5      1      
Konradas            Paulauskas          9      4      
zygimantas          Butkus              7      9      
Adamas              Jankauskas          8      10     
Ronaldas            Paulauskas          4      5      
Makaras             Kavaliauskas        8      9      
Emilis              Petrauskas          8      2      
Ubaldas             Stankevicius        7      9      
Foma                zukauskas           4      6      
Juzefas             Butkus              6      1      
Rimas               Kateiva             10     3      
Andrius             Kavaliauskas        6      3      
Kristijonas         Petrauskas          5      1      
Salvijus            Pocius              5      6      
Gedgaudas           Stankevicius        10     6      
Valdemaras          Stankevicius        2      5      
Gerdas              Kateiva             3      3      
Zigfridas           Pocius              6      8      
Mantrimas           Petrauskas          3      4      
Gailius             Paulauskas          7      2      
Aurelijus           Vasiliauskas        2      2      
Tamosius            Petrauskas          5      7      
Vladislavas         Vasiliauskas        4      10     
Vaidevutis          Urbonas             2      8      
Narcizas            Paulauskas          1      2      
Virgaudas           Kavaliauskas        2      2      
Anisimas            Sakalauskas         10     1      
Bernardas           Butkus              1      9      
Saulius             zukauskas           1      2      
Emilis              Sakalauskas         2      2      
Daivis              Butkus              8      5      
Tadeusas            Urbonas             4      2      
Dominykas           Jankauskas          8      6      
Polikarpas          Stankevicius        8      3      
Maksimas            zukauskas           6      4      
Mantautas           zukauskas           2      10     
Klemas              Paulauskas          10     6      
Gintis              Urbonas             2      7      
Zygfridas           Kazlaukas           7      4      
Narimantas          Kazlaukas           6      3      
Palemonas           Vasiliauskas        9      6      
Konstantinas        Vasiliauskas        9      2      
Emilis              Baranauskas         3      4      
Vestas              Vasiliauskas        9      3      
Kristinas           Butkus              1      1      
Henris              zukauskas           7      10     
Telesforas          Butkus              10     4      
Skalvis             Paulauskas          2      4      
Zacharijus          Jankauskas          4      10     
zygintas            Jankauskas          2      5      
Serzas              Vasiliauskas        2      9      
Utenis              Kateiva             2      9      
Gintautas           Butkus              4      5      
Bronislavas         Pocius              3      2      
Ambraziejus         Vasiliauskas        8      7      
Janas               Kazlaukas           6      9      
Skirgaila           Urbonas             10     9      
Ignotas             zukauskas           8      5      
Stepanas            Jankauskas          6      2      
Liudvigas           zukauskas           2      3      
Vilius              Baranauskas         10     8      
Hubertas            Butkus              9      3      
Leonidas            Urbonas             9      4      
Bronislavas         Kazlaukas           3      4      
Vilnius             Paulauskas          10     10     
Faustas             Kavaliauskas        1      10     
Nauris              Sakalauskas         10     10     
Arturas             Baranauskas         2      1      
Genrichas           Urbonas             8      9      
Dimitrijus          Sakalauskas         8      1      
Andreas             Butkus              9      8      
Fridrikas           Urbonas             3      2      
Vidimantas          Jankauskas          8      9      
Romanas             Sakalauskas         5      4      
Sabinas             Paulauskas          7      6      
Isakas              Pocius              6      5      
Gerdas              Stankevicius        1      6      
Zakarijus           Urbonas             6      8      
Erichas             Butkus              7      8      
Kirilas             Stankevicius        3      7      
Deivis              Petrauskas          7      4      
Jonaras             Petrauskas          3      3      
Kalnius             Pocius              3      6      
Teisutis            Stankevicius        8      7      
Ausrius             Petrauskas          9      3      
Mantvydas           Jankauskas          6      2      
Kleopas             Jankauskas          7      1      
Tadeusas            Jankauskas          10     10     
Aristidas           Kazlaukas           9      4      
Augis               Urbonas             9      3      
Nerius              zukauskas           5      5      
Martynas            Kateiva             10     4      
Gerdas              Vasiliauskas        7      10     
Jovaras             Sakalauskas         5      6      
Dariusas            Jankauskas          10     7      
Jovaras             Sakalauskas         8      10     
Palemonas           Butkus              10     4      
Juozapas            Urbonas             5      8      
ciogintas           Sakalauskas         2      2      
Sirvydas            Vasiliauskas        8      5      
Gracijonas          Urbonas             7      9      
Ivanas              Urbonas             4      8      
Berzas              Baranauskas         10     1      
Lauras              zukauskas           8      1      
Dimitrijus          Petrauskas          9      4      
Zbignevas           Kazlaukas           7      6      
Miroslavas          Sakalauskas         7      1      
Konstantinas        Stankevicius        10     1      
Edvinas             Baranauskas         3      4      
Danila              Pocius              2      4      
Elijus              Paulauskas          1      3      
Martinas            Jankauskas          1      3      
Vestas              Vasiliauskas        6      5      
Paulis              Sakalauskas         1      8      
zybartas            Paulauskas          2      10     
Robertas            Sakalauskas         2      3      
Rapolas             Pocius              2      5      
Adolfas             Butkus              3      5      
Timotiejus          Jankauskas          6      6      
Lauris              Kazlaukas           2      7      
Audrius             Kazlaukas           2      1      
Vasaris             Jankauskas          8      8      
Robertas            Petrauskas          5      2      
Grigalius           Paulauskas          10     1      
Jonis               Paulauskas          9      9      
Haraldas            Stankevicius        1      2      
Valdemaras          zukauskas           1      9      
Markas              Pocius              8      7      
Melchioras          Paulauskas          8      7      
Kamilis             Sakalauskas         4      9      
Mendelis            Vasiliauskas        1      6      
Rimvydas            Jankauskas          8      1      
Eidminas            Kateiva             3      4      
Vygintas            Kazlaukas           10     6      
Pilypas             Vasiliauskas        5      10     
Justinas            Pocius              7      2      
Maratas             Urbonas             1      10     
Timas               Kateiva             4      10     
Ferdinandas         Baranauskas         10     10     
Diomidas            Vasiliauskas        2      8      
Banguolis           Butkus              8      3      
Juris               Vasiliauskas        1      4      
Vaitiekus           Kateiva             10     4      
Marius              Baranauskas         6      9      
Rimgaudas           Petrauskas          10     1      
Matvejus            Stankevicius        10     4      
Renatas             zukauskas           4      10     
zydrius             Kazlaukas           2      8      
Denis               Kateiva             6      5      
Jemeljanas          Jankauskas          1      5      
Deivis              Kateiva             3      7      
Geivydas            Butkus              7      4      
Rufas               Stankevicius        9      5      
Janusas             zukauskas           2      3      
Jovaldas            Jankauskas          1      8      
Julijus             Jankauskas          7      6      
Gotfridas           Kazlaukas           6      5      
Antonas             Urbonas             3      3      
zygis               Kazlaukas           2      7      
Lavrentijus         Pocius              9      6      
Konradas            Baranauskas         7      2      
Vladislovas         Butkus              1      5      
Gintaras            Pocius              9      8      
Dovydas             Sakalauskas         3      8      
Ferdinandas         zukauskas           3      2      
Banguolis           Kateiva             8      9      
Eidminas            Petrauskas          8      1      
Juris               Petrauskas          8      3      
Vydas               Kavaliauskas        8      7      
Evaldas             Kavaliauskas        8      8      
Eldaras             Sakalauskas         1      1      
Kleopas             Paulauskas          5      1      
Minijus             Pocius              9      7      
Matvejus            Urbonas             7      7      
Laimutis            Kazlaukas           9      1      
Radvila             Petrauskas          4      6      
Izidorius           Jankauskas          9      4      
Rysardas            Pocius              6      1      
Nikita              Butkus              9      4      
Narcizas            Vasiliauskas        3      5      
Kalikstas           Stankevicius        9      1      
Donaldas            Baranauskas         8      3      
Vydmantas           Pocius              7      1      
Karlas              Paulauskas          7      6      
Diomidas            Urbonas             7      10     
Anisimas            Jankauskas          1      10     
Napalys             Kavaliauskas        1      1      
Sergijus            Pocius              6      5      
Jaroslavas          Stankevicius        2      4      
Palmyras            Kateiva             10     9      
Ambraziejus         Butkus              6      1      
Cecilijus           Urbonas             10     7      
Foma                Urbonas             8      4      
Janas               Kazlaukas           1      5      
Voicechas           Petrauskas          6      1      
Eidvydas            Kavaliauskas        4      7      
Valdis              Jankauskas          4      7      
Mildas              Pocius              6      4      
Martynas            Kazlaukas           9      5      
Boleslovas          Kateiva             1      2      
Elmantas            Jankauskas          3      4      
Julijus             Kavaliauskas        9      2      
Horstas             Stankevicius        5      10     
Gabrielius          Paulauskas          9      4      
Albrechtas          Jankauskas          9      9      
Norvydas            Stankevicius        1      7      
zydrius             Stankevicius        8      6      
Gendrius            Butkus              8      6      
Ruslanas            Baranauskas         4      9      
Tomas               zukauskas           10     2      
Kazys               Baranauskas         5      10     
ukas                Petrauskas          10     10     
Vilgaudas           Vasiliauskas        3      3      
Mildas              Vasiliauskas        6      4      
Algis               zukauskas           5      10     
Pranas              Kavaliauskas        4      6      
Lionginas           Paulauskas          8      4      
Viesulas            Stankevicius        9      2      
Agatas              Baranauskas         4      6      
Aristidas           Kazlaukas           8      6      
Norvilas            Stankevicius        6      9      
Olegas              Jankauskas          7      10     
Anisimas            Stankevicius        8      9      
Lukas               Baranauskas         4      5      
Martynas            Vasiliauskas        6      3      
Marcelijus          Sakalauskas         3      10     
Severas             Kateiva             3      3      
Mildas              Paulauskas          7      3      
Ramintas            Paulauskas          3      8      
Minijus             Kateiva             6      6      
Trofimas            Kavaliauskas        2      6      
Steponas            Butkus              7      10     
ceslovas            Pocius              8      5      
Normanas            Pocius              9      1      
Mykolas             Butkus              6      6      
zydrunas            Baranauskas         5      5      
Gytis               Kavaliauskas        2      9      
Vilenas             Jankauskas          7      5      
Libertas            zukauskas           1      6      
Alenas              Sakalauskas         6      4      
Denis               zukauskas           3      7      
Bonifacas           Jankauskas          1      8      
Sava                Stankevicius        8      6      
Mecislavas          Baranauskas         5      9      
Janas               Kateiva             10     3      
Jovaldas            Sakalauskas         5      10     
Laisvunas           Kateiva             10     3      
Kleopas             Pocius              2      1      
Jevgenijus          Vasiliauskas        3      10     
Ruslanas            Kavaliauskas        8      3      
Vilmantas           Kateiva             10     3      
Vygaudas            Urbonas             8      4      
Robertas            Pocius              2      10     
Vitas               Baranauskas         10     9      
Oskaras             Kavaliauskas        8      8      
Ovidijus            Kateiva             10     9      
Serapinas           Baranauskas         1      7      
Akvilinas           Kateiva             2      1      
Berzas              Baranauskas         1      4      
Marcelius           Stankevicius        7      3      
Vytaras             Vasiliauskas        7      7      
Stanislovas         zukauskas           7      6      
Zygfridas           Urbonas             3      10     
Abraomas            Pocius              1      7      
Nikandras           Baranauskas         4      2      
Silvijus            Kateiva             1      8      
Aurimas             Petrauskas          9      1      
Rimantas            Baranauskas         6      1      
Joanas              Sakalauskas         9      3      
Anzelmas            Stankevicius        9      2      
Ignas               Paulauskas          8      8      
Piotras             Jankauskas          5      2      
Gytis               zukauskas           9      3      
Rikardas            Pocius              9      9      
Berzas              Kazlaukas           4      6      
Jovitas             zukauskas           4      3      
Remas               zukauskas           1      7      
Vygaudas            Vasiliauskas        1      10     
Gytis               Jankauskas          8      2      
Ausrys              Kavaliauskas        7      4      
Mendelis            Pocius              6      10     
Felicijonas         Vasiliauskas        8      4      
Lauris              zukauskas           8      6      
Paulis              Petrauskas          5      3      
Marijus             Urbonas             1      2      
Henrikas            Jankauskas          8      2      
Mateusas            zukauskas           5      8      
Sergejus            Vasiliauskas        6      10     
Aleksandras         Pocius              2      1      
Orestas             Kavaliauskas        8      9      
Felicijonas         Pocius              4      2      
Povilas             Pocius              6      9      
Lauris              Sakalauskas         2      2      
Gailius             Baranauskas         1      9      
Mingaudas           Butkus              5      6      
Arturas             Kateiva             3      4      
Celestinas          Sakalauskas         3      1      
Vladas              Petrauskas          2      8      
Serapinas           Butkus              10     3      
Akvilinas           Baranauskas         5      2      
Rainoldas           Petrauskas          4      4      
Linas               Paulauskas          4      4      
Cecilijus           Vasiliauskas        8      8      
Jolantas            Kateiva             6      5      
Vyturys             Sakalauskas         9      7      
Alfonsas            Petrauskas          7      6      
Klaudijus           zukauskas           4      6      
Bronislavas         Butkus              9      4      
Andreas             Baranauskas         1      6      
Semionas            Jankauskas          7      7      
Severinas           zukauskas           4      10     
Simas               Petrauskas          4      6      
Marijonas           zukauskas           2      10     
Napalys             Butkus              7      10     
Stasys              Urbonas             5      10     
Vladlenas           Stankevicius        9      2      
Demjanas            Baranauskas         7      9      
Zakarijus           Vasiliauskas        9      1      
Isaakas             zukauskas           8      10     
Arnas               Kazlaukas           1      8      
Flavijus            Pocius              6      7      
Visvaldis           Kateiva             10     8      
Dominykas           Kateiva             3      9      
Dmitrijus           Sakalauskas         5      5      
Agatas              zukauskas           5      5      
Alenas              Vasiliauskas        7      8      
Jovaras             Sakalauskas         5      10     
Olegas              Pocius              5      6      
Valys               Kavaliauskas        2      1      
Juozapas            Stankevicius        2      6      
Polis               Kazlaukas           4      6      
Rimtas              Urbonas             10     2      
Charitonas          Stankevicius        7      6      
Gabrielis           Sakalauskas         1      4      
Danius              Baranauskas         2      1      
Napolis             Paulauskas          4      3      
Klevas              Baranauskas         6      3      
Dobilas             Kavaliauskas        3      8      
Tedas               Kavaliauskas        1      3      
Ignacas             Urbonas             2      6      
Nikola              Sakalauskas         10     5      
Vergilijus          Butkus              6      8      
Horacijus           zukauskas           3      6      
Zygfridas           Sakalauskas         6      9      
Tadeusas            Stankevicius        5      4      
Bazilijus           Pocius              3      7      
Armantas            Kavaliauskas        6      5      
Dmitrijus           Butkus              8      6      
Juras               Urbonas             3      2      
Otilijus            Kazlaukas           9      5      
Liutauras           Butkus              6      4      
Vacys               Kavaliauskas        2      4      
Dovydas             Sakalauskas         8      3      
Urbonas             Urbonas             1      8      
Tarasas             Pocius              4      10     
Zenonas             Kazlaukas           10     5      
Jaunius             Urbonas             8      2      
Silverijus          Kateiva             10     8      
Vilmas              Jankauskas          10     3      
Artiomas            Kazlaukas           3      2      
Nerimantas          zukauskas           1      3      
Zenius              Vasiliauskas        2      4      
Arimantas           Kazlaukas           4      6      
Janas               Baranauskas         3      9      
Orestas             Pocius              4      3      
Francas             Urbonas             3      7      
Juras               zukauskas           9      3      
Vytis               Paulauskas          7      6      
Gvidas              Stankevicius        3      4      
Steponas            Paulauskas          7      8      
Gvidonas            Sakalauskas         9      2      
Jogaila             zukauskas           10     1      
Berzas              Sakalauskas         8      3      
Vladislavas         Pocius              4      9      
Mikolajus           Petrauskas          7      7      
Fabijus             zukauskas           1      4      
Palmyras            Urbonas             1      5      
Gracijonas          Vasiliauskas        10     10     
Gintas              Urbonas             6      9      
Valdas              Paulauskas          6      4      
Galmantas           Kazlaukas           10     1      
Polikarpas          Kazlaukas           6      4      
Zenonas             Urbonas             9      6      
Vidmantas           Vasiliauskas        6      9      
Mangirdas           Sakalauskas         9      6      
Liubartas           Petrauskas          10     9      
Bronislavas         Baranauskas         4      5      
Rufinas             Kavaliauskas        3      2      
Vitas               Vasiliauskas        8      8      
Karolis             Kavaliauskas        5      6      
Eldaras             Stankevicius        4      3      
Lauris              Pocius              6      6      
Ovidijus            Urbonas             3      9      
Celestinas          Vasiliauskas        2      10     
Vidimantas          Kateiva             6      8      
Vidimantas          Butkus              9      5      
Maksas              Jankauskas          3      7      
Levas               Kavaliauskas        2      10     
Celestinas          Petrauskas          2      10     
Nidas               Sakalauskas         8      10     
Gervydas            Butkus              6      8      
Vitoldas            Kazlaukas           9      10     
Ralfas              Paulauskas          5      6      
Ksistofas           Kateiva             3      1      
Moze                Urbonas             5      4      
Foma                Butkus              2      2      
Zakarijus           Kateiva             9      9      
Genrichas           Vasiliauskas        1      9      
Stefanas            Stankevicius        2      6      
Hermanas            Stankevicius        6      9      
Girmantas           Kazlaukas           10     10     
Moze                Sakalauskas         6      1      
Deimantas           Vasiliauskas        8      8      
Uosis               zukauskas           4      5      
Maratas             Butkus              9      2      
Sergijus            Urbonas             5      4      
Janusas             Petrauskas          8      9      
Arvaidas            Baranauskas         4      7      
Chaimas             Petrauskas          3      10     
Kazimieras          Baranauskas         5      1      
Andzejus            Vasiliauskas        5      8      
Tomasas             Paulauskas          9      9      
Melchioras          Kavaliauskas        5      9      
Leonardas           Butkus              2      6      
Urbonas             zukauskas           7      1      
Aidas               Stankevicius        5      4      
Vaigirdas           Baranauskas         5      2      
Vilgaudas           Vasiliauskas        2      1      
Nerius              Vasiliauskas        4      8      
Edgaras             Stankevicius        7      4      
Svajus              Kavaliauskas        7      6      
Rafalas             Pocius              3      6      
Raulis              Kazlaukas           2      2      
Nauris              Kazlaukas           7      2      
Armantas            Pocius              5      7      
Oskaras             Sakalauskas         5      4      
Albrechtas          Baranauskas         3      5      
Naglis              Kavaliauskas        1      5      
Milanas             Urbonas             8      7      
Tadas               Butkus              4      6      
Mamertas            Urbonas             3      1      
Elijus              Kavaliauskas        6      9      
Jotautas            Sakalauskas         9      9      
Virgilijus          Baranauskas         4      4      
Jaunutis            Stankevicius        6      1      
Richardas           zukauskas           10     7      
zygis               Vasiliauskas        1      4      
Marcelius           zukauskas           1      1      
Aurimas             Vasiliauskas        9      1      
Martas              Pocius              4      2      
Kestutis            Sakalauskas         3      1      
Liucijus            Vasiliauskas        1      7      
Simeonas            Urbonas             8      5      
Klimas              Butkus              6      6      
Vilenas             Kazlaukas           5      9      
Vydimantas          Sakalauskas         8      2      
Henrikas            Vasiliauskas        2      3      
Maksas              zukauskas           9      10     
Osvaldas            zukauskas           5      10     
Virgis              Pocius              5      4      
Judrius             Kateiva             5      2      
Baltrus             zukauskas           6      5      
Miglius             Pocius              2      2      
Jakubas             Jankauskas          10     7      
Erichas             Vasiliauskas        4      4      
Nikolajus           Butkus              1      7      
Vaitiekus           Kazlaukas           2      8      
Anupras             Baranauskas         4      1      
Adrijus             Pocius              5      2      
Agnius              Pocius              4      2      
Brunonas            Butkus              2      9      
Ralfas              Kateiva             3      2      
Mikas               Jankauskas          6      8      
Lukrecijus          zukauskas           8      8      
Liudvigas           Vasiliauskas        2      1      
Almis               Kateiva             10     6      
Kalnius             Petrauskas          5      6      
Vaigaudas           Vasiliauskas        2      5      
Stanislavas         Kavaliauskas        9      7      
Eugenijus           Vasiliauskas        9      5      
Samuelis            Kazlaukas           7      1      
Celestinas          Jankauskas          2      2      
Napoleonas          Sakalauskas         8      6      
Arvydas             zukauskas           7      4      
Svajunas            Stankevicius        1      5      
Palemonas           Kazlaukas           4      5      
Dainius             Kateiva             3      2      
Izoldas             Sakalauskas         9      1      
Vasaris             Kateiva             10     8      
Jotautas            Paulauskas          2      8      
Justas              Baranauskas         7      4      
Vidas               Kavaliauskas        2      8      
Isaakas             Jankauskas          5      1      
Algimantas          Vasiliauskas        9      1      
Vigilijus           Jankauskas          5      7      
Klemas              Vasiliauskas        4      4      
Medas               zukauskas           6      8      
Regimantas          Kateiva             3      7      
Francas             Urbonas             2      7      
Imantas             Urbonas             4      9      
Elmantas            Sakalauskas         10     8      
Tonis               Butkus              7      4      
Putinas             Butkus              1      3      
Hilarijus           Kavaliauskas        3      3      
Skalmantas          Butkus              7      10     
Aidas               Baranauskas         1      8      
Matvejus            Kavaliauskas        2      6      
Juozas              Kazlaukas           9      4      
Liudas              Kateiva             10     2      
zygintas            zukauskas           4      1      
Otonas              Stankevicius        4      6      
Abramas             Baranauskas         1      4      
Gailimantas         Jankauskas          4      6      
Svajunas            Paulauskas          9      10     
Jotautas            Sakalauskas         6      9      
Audrius             Vasiliauskas        4      9      
Alvydas             Jankauskas          3      1      
Daumantas           Jankauskas          3      3      
Steponas            Jankauskas          4      7      
Aurimas             Butkus              7      10     
Vilmantas           zukauskas           2      7      
Napalis             Kazlaukas           8      6      
Milvydas            Paulauskas          10     3      
Ivanas              Jankauskas          10     6      
Adolfas             Kazlaukas           1      5      
Gvidonas            Sakalauskas         5      1      
Piotras             Sakalauskas         7      8      
Marius              Urbonas             8      1      
Abraomas            Stankevicius        3      7      
Renaldas            Petrauskas          7      10     
Sigis               Urbonas             8      3      
Gracijus            Pocius              8      8      
Gvidonas            Jankauskas          6      7      
Ruslanas            Kavaliauskas        9      2      
Oskaras             Paulauskas          5      1      
Vaitiekus           Paulauskas          2      1      
Redas               Urbonas             2      3      
Mildas              Paulauskas          6      5      
Robinas             Kateiva             4      7      
Jaunutis            Vasiliauskas        7      9      
Grigorijus          Baranauskas         6      3      
Nikiforas           Kavaliauskas        10     1      
Jovaldas            zukauskas           3      1      
Otilijus            zukauskas           4      7      
Simeonas            zukauskas           1      2      
Semionas            Kateiva             2      6      
Virgaudas           Baranauskas         1      9      
Jorunas             Kateiva             9      10     
Eivydas             Urbonas             3      8      
Juozapas            Baranauskas         5      7      
Artas               Vasiliauskas        3      3      
Urbonas             Baranauskas         5      8      
zygaudas            Kavaliauskas        2      10     
Milanas             Kavaliauskas        9      10     
Saulius             Butkus              5      5      
Normanas            Sakalauskas         6      4      
Jezis               Kavaliauskas        6      1      
Davidas             Paulauskas          9      1      
Mildas              Kavaliauskas        1      3      
Makaras             Urbonas             6      8      
Anupras             Kavaliauskas        1      7      
Andreas             Petrauskas          9      4      
Gordejus            Kateiva             2      10     
Gailius             Kateiva             2      2      
Makarijus           zukauskas           6      9      
Rimtis              Vasiliauskas        7      6      
Boleslovas          Baranauskas         7      1      
Saulenis            Vasiliauskas        8      9      
Marianas            Kazlaukas           1      6      
Jegoras             Urbonas             1      4      
Janis               Kateiva             1      5      
Miroslavas          Kavaliauskas        10     9      
Deivis              Baranauskas         7      9      
Sikstas             Baranauskas         5      2      
Dovis               Jankauskas          6      10     
Saulenis            Kavaliauskas        8      8      
Nikola              Vasiliauskas        5      1      
Napalys             Urbonas             5      9      
Nikas               zukauskas           1      8      
Arkadijus           Kazlaukas           8      6      
Utenis              Urbonas             3      1      
Virgintas           Baranauskas         9      5      
Feliksas            Kazlaukas           2      7      
Sigitas             Baranauskas         9      9      
Kristijonas         Paulauskas          9      3      
Germantas           Sakalauskas         10     1      
Sergijus            Petrauskas          4      9      
Hermanas            zukauskas           2      8      
Gaudenis            Butkus              2      5      
Vingaudas           Kazlaukas           5      9      
Piotras             Paulauskas          10     3      
Imantas             Kazlaukas           3      9      
Demjanas            Kateiva             8      2      
Vladislavas         Jankauskas          2      3      
Vaidila             Sakalauskas         6      6      
Adolis              Jankauskas          7      3      
Francas             Petrauskas          2      10     
Valys               Kazlaukas           10     9      
Gintas              Baranauskas         8      2      
Elijus              Kavaliauskas        3      1      
Boleslavas          Kavaliauskas        9      3      
Nilas               Kazlaukas           8      6      
Visvaldis           Urbonas             4      7      
Simas               Baranauskas         3      9      
Arunas              Paulauskas          2      1      
Baltazaras          Sakalauskas         2      1      
Michalas            Vasiliauskas        7      4      
Zigmas              Baranauskas         6      6      
Vadimas             Baranauskas         5      10     
Drasutis            Kateiva             6      6      
Erdvilas            Kazlaukas           10     1      
zygaudas            Stankevicius        5      5      
Jaunius             Baranauskas         10     10     
Arimantas           Kateiva             9      2      
Silvestras          Kateiva             5      8      
Boleslavas          zukauskas           6      1      
Irmantas            zukauskas           10     3      
Vadimas             Urbonas             1      5      
Ignotas             Urbonas             6      1      
Silvestras          Urbonas             7      1      
Tadas               Paulauskas          9      9      
Gerimantas          Kazlaukas           10     4      
Lavrentijus         Jankauskas          10     2      
Tautrimas           Sakalauskas         6      4      
Celestinas          Butkus              9      6      
Kazys               Petrauskas          2      1      
Anicetas            Vasiliauskas        6      2      
Tadas               Kateiva             3      8      
Vytautas            Sakalauskas         5      2      
Haraldas            Paulauskas          3      5      
Vygandas            zukauskas           7      2      
Stepanas            Baranauskas         8      6      
Valius              Baranauskas         6      5      
Urbonas             Baranauskas         8      4      
Cecilijus           Kazlaukas           10     8      
Karolis             Vasiliauskas        9      3      
Dzonis              Vasiliauskas        1      3      
Agatas              Baranauskas         3      6      
Arnas               Pocius              10     3      
Natas               Kateiva             1      9      
Morkus              Kazlaukas           4      7      
Vykintas            Stankevicius        8      8      
Donatas             Paulauskas          7      9      
Anicetas            Urbonas             7      5      
Dobilas             Sakalauskas         9      2      
Valys               Sakalauskas         4      10     
Anatolijus          Kavaliauskas        7      9      
Cezaris             Pocius              3      7      
Renatas             Kazlaukas           2      3      
Laimonas            Baranauskas         3      3      
Klementas           Paulauskas          3      7      
Flavijus            Kavaliauskas        8      9      
Bazilijus           Petrauskas          2      4      
Vaidotas            Kazlaukas           8      7      
Ainius              zukauskas           10     2      
Grigas              zukauskas           6      3      
Vykintas            Stankevicius        9      9      
Gaudenis            Baranauskas         3      9      
zeimantas           Kateiva             2      4      
Lionginas           Vasiliauskas        4      8      
Lauras              Jankauskas          10     6      
Rikardas            Baranauskas         6      9      
Mindaugas           Kateiva             2      2      
Osmundas            Paulauskas          6      10     
Aistis              Paulauskas          3      6      
Ignotas             Stankevicius        1      1      
Merkys              Pocius              1      7      
Galmantas           Petrauskas          7      8      
Algis               Kavaliauskas        7      10     
Kestutis            Stankevicius        9      1      
Vasilijus           Paulauskas          7      1      
Simeonas            Paulauskas          10     9      
Vidas               Stankevicius        4      2      
Maratas             Sakalauskas         3      10     
Viktorinas          Vasiliauskas        7      3      
Nedas               Paulauskas          2      2      
Zygmuntas           zukauskas           9      7      
Vladislavas         zukauskas           2      1      
Kleopas             Sakalauskas         5      2      
Genadijus           Paulauskas          7      10     
Gediminas           Vasiliauskas        7      2      
Nerius              Petrauskas          3      6      
Ksistofas           Paulauskas          7      9      
Eduardas            Kateiva             7      5      
Albinas             Kazlaukas           1      7      
Mykolas             Kavaliauskas        10     5      
Nerimantas          Jankauskas          7      4      
Banguolis           Sakalauskas         1      2      
Severinas           Jankauskas          8      8      
Domas               Baranauskas         1      1      
Gediminas           zukauskas           10     8      
Borisas             Vasiliauskas        9      10     
Aronas              Vasiliauskas        8      10     
Viltaras            Urbonas             7      2      
Gedas               Sakalauskas         8      6      
Viktorijus          Vasiliauskas        1      2      
Jaunutis            Kazlaukas           8      8      
Vadimas             Kazlaukas           2      4      
Bronislovas         Pocius              1      5      
Nojus               Butkus              1      5      
udrys               Urbonas             9      2      
Grazvydas           Kazlaukas           2      6      
Sirvydas            Sakalauskas         2      7      
Skaidrius           Baranauskas         9      9      
Adolfas             Sakalauskas         7      6      
Patricijus          Baranauskas         6      3      
Gavrila             Kateiva             7      1      
Gracijus            Jankauskas          8      9      
Vygintas            Stankevicius        10     4      
Danila              Vasiliauskas        5      5      
Donatas             Stankevicius        10     9      
Narvydas            Jankauskas          9      1      
Venjaminas          Sakalauskas         6      8      
Samsonas            Vasiliauskas        1      4      
Adamas              Petrauskas          1      9      
